SWD1  Swords 1
SWD2  Swords 2
SWD3  Swords 3
POL1  Polearms 1
POL2  Polearms 2
POL3  Polearms 3
AXE1  Axes 1
AXE2  Axes 2
AXE3  Axes 3
MCE1  Maces 1
MCE2  Maces 2
MCE3  Maces 3
TLM1  Talismans 1
TLM2  Talismans 2
TLM3  Talismans 3
WAN1  Wands 1
WAN2  Wands 2
WAN3  Wands 3
BOW1  Bows 1
BOW2  Bows 2
BOW3  Bows 3
CAR1  Companion-Arms 1
CAR2  Companion-Arms 2
CAR3  Companion-Arms 3
ASV1  Aestival 1
ASV2  Aestival 2
ASV3  Aestival 3
EYR1  Empyreal 1
EYR2  Empyreal 2
EYR3  Empyreal 3
SML1  Simulcral 1
SML2  Simulcral 2
SML3  Simulcral 3
LOQ1  Loquial 1
LOQ2  Loquial 2
LOQ3  Loquial 3
HEM1  Hiemal 1
HEM2  Hiemal 2
HEM3  Hiemal 3
UMB1  Umbral 1
UMB2  Umbral 2
UMB3  Umbral 3
CRL1  Carnal 1
CRL2  Carnal 2
CRL3  Carnal 3
TRR1  Terrestial 1
TRR2  Terrestial 2
TRR3  Terrestial 3
<@!>
